,Compound,Media Outlet,Negative,Neutral,Number of Tweets Ago,Positive,Time,Tweet Text
27,0.7506,@BBC,0.079,0.602,27,0.32,Sat Apr 21 23:15:46 +0000 2018,Nazi China &amp; Korea got Propagandaministerium like @BBC around the world. Surely Hitler and his friends would envy t… https://t.co/OV7ANghOMe
28,0.0,@BBC,0.0,1.0,28,0.0,Sat Apr 21 23:15:42 +0000 2018,RT @bribriggs: @John_Eick @edcampOSjr @BBC @cueinc @jcorippo @creativeedtech It's @John_Eick aka #Johnomatopoeia in full effect! https://t.…
29,0.0,@BBC,0.0,1.0,29,0.0,Sat Apr 21 23:15:33 +0000 2018,"RT @MySelfAndHeize: ESTO ES LO QUE PASÓ ÉSTA TARDE EN UNA DE LAS UNIVERSIDADES. SIGUE MURIENDO GENTE. NECESITAN AYUDA INTERNACIONAL 

@Noti…"
30,0.4404,@BBC,0.0,0.633,30,0.367,Sat Apr 21 23:15:32 +0000 2018,@TwatBibIe Protected paedophiles at the @BBC
31,0.0,@BBC,0.0,1.0,31,0.0,Sat Apr 21 23:15:09 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
32,0.891,@BBC,0.0,0.58,32,0.42,Sat Apr 21 23:14:48 +0000 2018,"@RDiane877 @BBC I meant the care she is showing it generally. Holding it gently, supporting its head like a human b… https://t.co/faafYVUAQp"
33,-0.228,@BBC,0.232,0.596,33,0.172,Sat Apr 21 23:14:35 +0000 2018,"@clairlemon Most importantly, who in the fuck calls it ""Insta,"" @BBC ?"
34,-0.128,@BBC,0.061,0.939,34,0.0,Sat Apr 21 23:12:00 +0000 2018,RT @magwitch5151: Just a tad ironic that @BBC are showing the 2014 film version of 'Testament of Youth' by Vera Brittain this weekend &amp; not…
35,0.2023,@BBC,0.0,0.893,35,0.107,Sat Apr 21 23:11:42 +0000 2018,RT @BBC: Top of the Shop with @ChefTomKerridge starts at 8pm tonight on @BBCTwo. 🧀🍫🍅 https://t.co/YZLujJ6wNT
36,0.6369,@BBC,0.0,0.543,36,0.457,Sat Apr 21 23:10:24 +0000 2018,RT @BBC: ❤️🦍 A mother's love. https://t.co/O88T9j69Ga
